# Redshift evolution of the volume-averaged He III fraction
# considering AGN with M_{1450} < -18 and M_{1450} < -18 from the
# model presented in Kulkarni, Worseck, and Hennawi 2018
# (arXiv:1807.09774 [astro-ph.GA]), Figure 11.
#
# Column 1: z
# Column 2: Q_HeIII with M_{1450} < -18 AGN
# Column 3: Lower bound on column 2 (68.26% equal-tailed credible interval)
# Column 4: Upper bound on column 2 (68.26% equal-tailed credible interval)
# Column 5: Q_HeIII with M_{1450} < -21 AGN 
# Column 6: Lower bound on column 5 (68.26% equal-tailed credible interval)
# Column 7: Upper bound on column 5 (68.26% equal-tailed credible interval)
z         Q_HeIII_18  Q_HeIII_18_l  Q_HeIII_18_u  Q_HeIII_21    Q_HeIII_21_l  Q_HeIII_21_u
 9.898  1.030358e-05  6.707125e-07  1.310342e-04  3.716452e-06  6.931636e-07  1.464041e-05
 9.886  1.055917e-05  6.909847e-07  1.333907e-04  3.806973e-06  7.126987e-07  1.495399e-05
 9.874  1.082109e-05  7.119504e-07  1.357865e-04  3.899793e-06  7.328622e-07  1.527447e-05
 9.862  1.108950e-05  7.336094e-07  1.382226e-04  3.994912e-06  7.536542e-07  1.560199e-05
 9.850  1.136456e-05  7.559618e-07  1.407002e-04  4.092329e-06  7.750748e-07  1.593670e-05
 9.838  1.164642e-05  7.790076e-07  1.432200e-04  4.192045e-06  7.971237e-07  1.627875e-05
 9.826  1.193524e-05  8.027469e-07  1.457827e-04  4.294059e-06  8.198012e-07  1.662827e-05
 9.814  1.223118e-05  8.271795e-07  1.483889e-04  4.398372e-06  8.431071e-07  1.698543e-05
 9.802  1.253439e-05  8.523055e-07  1.510394e-04  4.504984e-06  8.670416e-07  1.735036e-05
 9.790  1.284503e-05  8.781250e-07  1.537350e-04  4.614338e-06  8.916044e-07  1.772321e-05
 9.778  1.316326e-05  9.046378e-07  1.564762e-04  4.726816e-06  9.167958e-07  1.810412e-05
 9.766  1.348922e-05  9.318441e-07  1.592638e-04  4.842418e-06  9.426157e-07  1.849324e-05
 9.754  1.382309e-05  9.597437e-07  1.620985e-04  4.961144e-06  9.690640e-07  1.889073e-05
 9.742  1.416501e-05  9.883368e-07  1.649811e-04  5.082994e-06  9.961408e-07  1.929671e-05
 9.730  1.451514e-05  1.017707e-06  1.679125e-04  5.207967e-06  1.023846e-06  1.971135e-05
 9.718  1.487368e-05  1.048207e-06  1.708944e-04  5.336064e-06  1.052180e-06  2.013478e-05
 9.706  1.524109e-05  1.079876e-06  1.739278e-04  5.467285e-06  1.081142e-06  2.056715e-05
 9.694  1.561764e-05  1.112715e-06  1.770135e-04  5.601629e-06  1.110856e-06  2.100873e-05
 9.682  1.600354e-05  1.146722e-06  1.801526e-04  5.739098e-06  1.141598e-06  2.145998e-05
 9.670  1.639899e-05  1.181899e-06  1.833458e-04  5.879690e-06  1.173380e-06  2.192114e-05
 9.658  1.680420e-05  1.218245e-06  1.865942e-04  6.023406e-06  1.206200e-06  2.239240e-05
 9.646  1.721938e-05  1.255760e-06  1.898985e-04  6.170401e-06  1.240059e-06  2.287396e-05
 9.634  1.764474e-05  1.294445e-06  1.932598e-04  6.321482e-06  1.274958e-06  2.336601e-05
 9.622  1.808049e-05  1.334298e-06  1.966790e-04  6.476767e-06  1.310895e-06  2.386876e-05
 9.610  1.852682e-05  1.375321e-06  2.001569e-04  6.636254e-06  1.347872e-06  2.438241e-05
 9.598  1.898395e-05  1.417513e-06  2.036947e-04  6.799943e-06  1.385887e-06  2.490714e-05
 9.586  1.945209e-05  1.460875e-06  2.072956e-04  6.967836e-06  1.424942e-06  2.544317e-05
 9.574  1.993145e-05  1.505405e-06  2.109619e-04  7.139930e-06  1.465036e-06  2.599069e-05
 9.562  2.042222e-05  1.551105e-06  2.146954e-04  7.316228e-06  1.506168e-06  2.654990e-05
 9.550  2.092462e-05  1.597974e-06  2.184978e-04  7.496727e-06  1.548340e-06  2.712099e-05
 9.538  2.143886e-05  1.646012e-06  2.223709e-04  7.681430e-06  1.591551e-06  2.770417e-05
 9.526  2.196525e-05  1.695219e-06  2.263164e-04  7.870380e-06  1.635801e-06  2.829963e-05
 9.514  2.250403e-05  1.745615e-06  2.303370e-04  8.064378e-06  1.681089e-06  2.890757e-05
 9.502  2.305545e-05  1.797631e-06  2.344383e-04  8.263714e-06  1.727431e-06  2.952822e-05
 9.489  2.361972e-05  1.851445e-06  2.386241e-04  8.468389e-06  1.775189e-06  3.016225e-05
 9.477  2.419706e-05  1.907058e-06  2.428975e-04  8.678403e-06  1.824525e-06  3.081010e-05
 9.465  2.478771e-05  1.964470e-06  2.472619e-04  8.893756e-06  1.875437e-06  3.147206e-05
 9.453  2.539189e-05  2.023680e-06  2.517205e-04  9.114448e-06  1.927926e-06  3.214840e-05
 9.441  2.600981e-05  2.084689e-06  2.562737e-04  9.340478e-06  1.981991e-06  3.283941e-05
 9.429  2.664172e-05  2.147497e-06  2.609217e-04  9.571847e-06  2.037634e-06  3.354536e-05
 9.417  2.728783e-05  2.212103e-06  2.656663e-04  9.808555e-06  2.094853e-06  3.426652e-05
 9.405  2.794836e-05  2.278509e-06  2.705092e-04  1.002586e-05  2.153649e-06  3.500318e-05
